English,URL,Russian
anxious,https://www.oxfordlearnersdictionaries.com/definition/english/anxious,тревожный
apology,https://www.oxfordlearnersdictionaries.com/definition/english/apology,извинения
apparent,https://www.oxfordlearnersdictionaries.com/definition/english/apparent,очевидный
apparently,https://www.oxfordlearnersdictionaries.com/definition/english/apparently,видимо
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_1,обращаться
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2,обращаться
applicant,https://www.oxfordlearnersdictionaries.com/definition/english/applicant,заявитель
approach,https://www.oxfordlearnersdictionaries.com/definition/english/approach_1,подход
approach,https://www.oxfordlearnersdictionaries.com/definition/english/approach_2,подход
appropriate,https://www.oxfordlearnersdictionaries.com/definition/english/appropriate_1,подходящее
appropriately,https://www.oxfordlearnersdictionaries.com/definition/english/appropriately,соответственно
approval,https://www.oxfordlearnersdictionaries.com/definition/english/approval,одобрение
approve,https://www.oxfordlearnersdictionaries.com/definition/english/approve,утвердить
arise,https://www.oxfordlearnersdictionaries.com/definition/english/arise,возникать
armed,https://www.oxfordlearnersdictionaries.com/definition/english/armed,вооруженный
arms,https://www.oxfordlearnersdictionaries.com/definition/english/arms,руки
arrow,https://www.oxfordlearnersdictionaries.com/definition/english/arrow,стрелка
artificial,https://www.oxfordlearnersdictionaries.com/definition/english/artificial,искусственный
artistic,https://www.oxfordlearnersdictionaries.com/definition/english/artistic,артистический
artwork,https://www.oxfordlearnersdictionaries.com/definition/english/artwork,произведение искусства
ashamed,https://www.oxfordlearnersdictionaries.com/definition/english/ashamed,стыдящийся
aside,https://www.oxfordlearnersdictionaries.com/definition/english/aside_1,в стороне
aspect,https://www.oxfordlearnersdictionaries.com/definition/english/aspect,аспект
assess,https://www.oxfordlearnersdictionaries.com/definition/english/assess,оценивать
assessment,https://www.oxfordlearnersdictionaries.com/definition/english/assessment,оценка
asset,https://www.oxfordlearnersdictionaries.com/definition/english/asset,актив
assign,https://www.oxfordlearnersdictionaries.com/definition/english/assign,назначать
assistance,https://www.oxfordlearnersdictionaries.com/definition/english/assistance,помощь
associate,https://www.oxfordlearnersdictionaries.com/definition/english/associate_1,ассоциировать
associated,https://www.oxfordlearnersdictionaries.com/definition/english/associated,связанный
association,https://www.oxfordlearnersdictionaries.com/definition/english/association,ассоциация
assume,https://www.oxfordlearnersdictionaries.com/definition/english/assume,предполагать
assumption,https://www.oxfordlearnersdictionaries.com/definition/english/assumption,предположение
assure,https://www.oxfordlearnersdictionaries.com/definition/english/assure,гарантировать
astonishing,https://www.oxfordlearnersdictionaries.com/definition/english/astonishing,удивительный
attachment,https://www.oxfordlearnersdictionaries.com/definition/english/attachment,вложение
attempt,https://www.oxfordlearnersdictionaries.com/definition/english/attempt_1,пытаться
attempt,https://www.oxfordlearnersdictionaries.com/definition/english/attempt_2,пытаться
auction,https://www.oxfordlearnersdictionaries.com/definition/english/auction_1,аукцион
audio,https://www.oxfordlearnersdictionaries.com/definition/english/audio_1,аудио
automatic,https://www.oxfordlearnersdictionaries.com/definition/english/automatic_1,автоматический
automatically,https://www.oxfordlearnersdictionaries.com/definition/english/automatically,автоматически
awareness,https://www.oxfordlearnersdictionaries.com/definition/english/awareness,осведомленность
awkward,https://www.oxfordlearnersdictionaries.com/definition/english/awkward,неуклюжий
back,https://www.oxfordlearnersdictionaries.com/definition/english/back_4,назад
bacteria,https://www.oxfordlearnersdictionaries.com/definition/english/bacteria,бактерии
badge,https://www.oxfordlearnersdictionaries.com/definition/english/badge,значок
balanced,https://www.oxfordlearnersdictionaries.com/definition/english/balanced,сбалансированный
ballet,https://www.oxfordlearnersdictionaries.com/definition/english/ballet,балет
balloon,https://www.oxfordlearnersdictionaries.com/definition/english/balloon_1,воздушный шар
bar,https://www.oxfordlearnersdictionaries.com/definition/english/bar_2,бар
barely,https://www.oxfordlearnersdictionaries.com/definition/english/barely,едва
bargain,https://www.oxfordlearnersdictionaries.com/definition/english/bargain_1,торговаться
barrier,https://www.oxfordlearnersdictionaries.com/definition/english/barrier,барьер
basement,https://www.oxfordlearnersdictionaries.com/definition/english/basement,подвал
basically,https://www.oxfordlearnersdictionaries.com/definition/english/basically,по сути
basket,https://www.oxfordlearnersdictionaries.com/definition/english/basket,корзина
bat,https://www.oxfordlearnersdictionaries.com/definition/english/bat_1,летучая мышь
battle,https://www.oxfordlearnersdictionaries.com/definition/english/battle_2,боевой
bear,https://www.oxfordlearnersdictionaries.com/definition/english/bear_1,нести
beat,https://www.oxfordlearnersdictionaries.com/definition/english/beat_2,бить
beg,https://www.oxfordlearnersdictionaries.com/definition/english/beg,просить
being,https://www.oxfordlearnersdictionaries.com/definition/english/being,существование
beneficial,https://www.oxfordlearnersdictionaries.com/definition/english/beneficial,выгодный
bent,https://www.oxfordlearnersdictionaries.com/definition/english/bent_1,согнутый
beside,https://www.oxfordlearnersdictionaries.com/definition/english/beside,рядом
besides,https://www.oxfordlearnersdictionaries.com/definition/english/besides_2,Помимо
besides,https://www.oxfordlearnersdictionaries.com/definition/english/besides_1,Помимо
bet,https://www.oxfordlearnersdictionaries.com/definition/english/bet_2,держать пари
bet,https://www.oxfordlearnersdictionaries.com/definition/english/bet_1,держать пари
beyond,https://www.oxfordlearnersdictionaries.com/definition/english/beyond_2,вне
beyond,https://www.oxfordlearnersdictionaries.com/definition/english/beyond_1,вне
bias,https://www.oxfordlearnersdictionaries.com/definition/english/bias_1,предвзятость
bid,https://www.oxfordlearnersdictionaries.com/definition/english/bid1_1,делать ставку
bid,https://www.oxfordlearnersdictionaries.com/definition/english/bid1_2,делать ставку
bill,https://www.oxfordlearnersdictionaries.com/definition/english/bill_2,законопроект
biological,https://www.oxfordlearnersdictionaries.com/definition/english/biological,биологический
bitter,https://www.oxfordlearnersdictionaries.com/definition/english/bitter_1,Горький
blame,https://www.oxfordlearnersdictionaries.com/definition/english/blame_2,обвинять
blame,https://www.oxfordlearnersdictionaries.com/definition/english/blame_1,обвинять
blanket,https://www.oxfordlearnersdictionaries.com/definition/english/blanket_1,покрывало на кровать
blind,https://www.oxfordlearnersdictionaries.com/definition/english/blind_1,слепой
blow,https://www.oxfordlearnersdictionaries.com/definition/english/blow_2,дуть
bold,https://www.oxfordlearnersdictionaries.com/definition/english/bold_1,жирный
bombing,https://www.oxfordlearnersdictionaries.com/definition/english/bombing,бомбежка
bond,https://www.oxfordlearnersdictionaries.com/definition/english/bond_1,связь
booking,https://www.oxfordlearnersdictionaries.com/definition/english/booking,бронирование
boost,https://www.oxfordlearnersdictionaries.com/definition/english/boost_2,увеличение
boost,https://www.oxfordlearnersdictionaries.com/definition/english/boost_1,увеличение
border,https://www.oxfordlearnersdictionaries.com/definition/english/border_2,граница
bound,https://www.oxfordlearnersdictionaries.com/definition/english/bound_1,граница
breast,https://www.oxfordlearnersdictionaries.com/definition/english/breast_1,грудь
brick,https://www.oxfordlearnersdictionaries.com/definition/english/brick_1,кирпич
brief,https://www.oxfordlearnersdictionaries.com/definition/english/brief_1,краткий
briefly,https://www.oxfordlearnersdictionaries.com/definition/english/briefly,кратко
broad,https://www.oxfordlearnersdictionaries.com/definition/english/broad_1,широкий
broadcast,https://www.oxfordlearnersdictionaries.com/definition/english/broadcast_2,транслировать
broadcast,https://www.oxfordlearnersdictionaries.com/definition/english/broadcast_1,транслировать
broadcaster,https://www.oxfordlearnersdictionaries.com/definition/english/broadcaster,телеведущий
broadly,https://www.oxfordlearnersdictionaries.com/definition/english/broadly,широко
budget,https://www.oxfordlearnersdictionaries.com/definition/english/budget_1,бюджет
bug,https://www.oxfordlearnersdictionaries.com/definition/english/bug_1,ошибка
bullet,https://www.oxfordlearnersdictionaries.com/definition/english/bullet,пуля
bunch,https://www.oxfordlearnersdictionaries.com/definition/english/bunch_1,связка
burn,https://www.oxfordlearnersdictionaries.com/definition/english/burn_2,гореть
bush,https://www.oxfordlearnersdictionaries.com/definition/english/bush,куст
but,https://www.oxfordlearnersdictionaries.com/definition/english/but_2,но
cabin,https://www.oxfordlearnersdictionaries.com/definition/english/cabin,салон самолета
cable,https://www.oxfordlearnersdictionaries.com/definition/english/cable_1,кабель
calculate,https://www.oxfordlearnersdictionaries.com/definition/english/calculate,вычислить
canal,https://www.oxfordlearnersdictionaries.com/definition/english/canal,канал
cancel,https://www.oxfordlearnersdictionaries.com/definition/english/cancel,Отмена
cancer,https://www.oxfordlearnersdictionaries.com/definition/english/cancer_1,рак
candle,https://www.oxfordlearnersdictionaries.com/definition/english/candle,свеча
capable,https://www.oxfordlearnersdictionaries.com/definition/english/capable,способный
capacity,https://www.oxfordlearnersdictionaries.com/definition/english/capacity,емкость
capture,https://www.oxfordlearnersdictionaries.com/definition/english/capture_2,захватывать
capture,https://www.oxfordlearnersdictionaries.com/definition/english/capture_1,захватывать
carbon,https://www.oxfordlearnersdictionaries.com/definition/english/carbon,углерод
cast,https://www.oxfordlearnersdictionaries.com/definition/english/cast_2,В ролях
cast,https://www.oxfordlearnersdictionaries.com/definition/english/cast_1,В ролях
casual,https://www.oxfordlearnersdictionaries.com/definition/english/casual_1,повседневная
catch,https://www.oxfordlearnersdictionaries.com/definition/english/catch_2,ловить
cave,https://www.oxfordlearnersdictionaries.com/definition/english/cave_1,пещера
cell,https://www.oxfordlearnersdictionaries.com/definition/english/cell,клетка
certainty,https://www.oxfordlearnersdictionaries.com/definition/english/certainty,уверенность
certificate,https://www.oxfordlearnersdictionaries.com/definition/english/certificate_1,свидетельство
chain,https://www.oxfordlearnersdictionaries.com/definition/english/chain_2,цепь
chair,https://www.oxfordlearnersdictionaries.com/definition/english/chair_2,стул
chairman,https://www.oxfordlearnersdictionaries.com/definition/english/chairman,председатель
challenge,https://www.oxfordlearnersdictionaries.com/definition/english/challenge_2,вызов
challenging,https://www.oxfordlearnersdictionaries.com/definition/english/challenging,испытывающий
championship,https://www.oxfordlearnersdictionaries.com/definition/english/championship,чемпионат
characteristic,https://www.oxfordlearnersdictionaries.com/definition/english/characteristic_2,характерная черта
characteristic,https://www.oxfordlearnersdictionaries.com/definition/english/characteristic_1,характерная черта
charming,https://www.oxfordlearnersdictionaries.com/definition/english/charming,очаровательный
chart,https://www.oxfordlearnersdictionaries.com/definition/english/chart_2,Диаграмма
chase,https://www.oxfordlearnersdictionaries.com/definition/english/chase_2,гнаться
chase,https://www.oxfordlearnersdictionaries.com/definition/english/chase_1,гнаться
cheek,https://www.oxfordlearnersdictionaries.com/definition/english/cheek_1,щека
cheer,https://www.oxfordlearnersdictionaries.com/definition/english/cheer_2,радость
cheer,https://www.oxfordlearnersdictionaries.com/definition/english/cheer_1,радость
chief,https://www.oxfordlearnersdictionaries.com/definition/english/chief_1,главный
chief,https://www.oxfordlearnersdictionaries.com/definition/english/chief_2,главный
choir,https://www.oxfordlearnersdictionaries.com/definition/english/choir,хор
chop,https://www.oxfordlearnersdictionaries.com/definition/english/chop_1,нарезать
circuit,https://www.oxfordlearnersdictionaries.com/definition/english/circuit,схема
circumstance,https://www.oxfordlearnersdictionaries.com/definition/english/circumstance,обстоятельство
cite,https://www.oxfordlearnersdictionaries.com/definition/english/cite,cite
citizen,https://www.oxfordlearnersdictionaries.com/definition/english/citizen,гражданин
civil,https://www.oxfordlearnersdictionaries.com/definition/english/civil,гражданский
civilization,https://www.oxfordlearnersdictionaries.com/definition/english/civilization,цивилизация
clarify,https://www.oxfordlearnersdictionaries.com/definition/english/clarify,объяснить
classic,https://www.oxfordlearnersdictionaries.com/definition/english/classic_1,классический
classic,https://www.oxfordlearnersdictionaries.com/definition/english/classic_2,классический
classify,https://www.oxfordlearnersdictionaries.com/definition/english/classify,classify
