English,URL,Russian,Spanish,Deutsch,Czech
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,продвигать,avance,Vorauszahlung,záloha
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,продвигать,avance,Vorauszahlung,záloha
affair,https://www.oxfordlearnersdictionaries.com/definition/english/affair,Роман,amorío,Affäre,aféra
affordable,https://www.oxfordlearnersdictionaries.com/definition/english/affordable,доступный,accesible,bezahlbar,cenově dostupné
afterwards,https://www.oxfordlearnersdictionaries.com/definition/english/afterwards,после,después,nachher,později
agency,https://www.oxfordlearnersdictionaries.com/definition/english/agency,агентство,agencia,Agentur,agentura
agenda,https://www.oxfordlearnersdictionaries.com/definition/english/agenda,повестка дня,agenda,Agenda,denní program
aggressive,https://www.oxfordlearnersdictionaries.com/definition/english/aggressive,агрессивный,agresivo,aggressiv,agresivní
agriculture,https://www.oxfordlearnersdictionaries.com/definition/english/agriculture,сельское хозяйство,agricultura,Landwirtschaft,zemědělství
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_1,помогать,ayuda,Hilfe,pomoc
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_2,помогать,ayuda,Hilfe,pomoc
aids,https://www.oxfordlearnersdictionaries.com/definition/english/aids,СПИД,SIDA,Aids,AIDS
aircraft,https://www.oxfordlearnersdictionaries.com/definition/english/aircraft,самолет,aeronave,Flugzeug,letadlo
alarm,https://www.oxfordlearnersdictionaries.com/definition/english/alarm_2,тревога,alarma,Alarm,poplach
alien,https://www.oxfordlearnersdictionaries.com/definition/english/alien_1,пришелец,extraterrestre,Außerirdischer,mimozemšťan
alongside,https://www.oxfordlearnersdictionaries.com/definition/english/alongside_2,рядом,junto a,neben,vedle
alter,https://www.oxfordlearnersdictionaries.com/definition/english/alter,изменить,alterar,ändern,změnit
altogether,https://www.oxfordlearnersdictionaries.com/definition/english/altogether_1,вообще,en total,insgesamt,celkem
ambulance,https://www.oxfordlearnersdictionaries.com/definition/english/ambulance,скорая помощь,ambulancia,Ambulanz,záchranná služba
amount,https://www.oxfordlearnersdictionaries.com/definition/english/amount_2,количество,Monto,Höhe,množství
amusing,https://www.oxfordlearnersdictionaries.com/definition/english/amusing,занимательный,divertido,lustig,zábavný
analyst,https://www.oxfordlearnersdictionaries.com/definition/english/analyst,аналитик,analista,Analytiker,analytik
ancestor,https://www.oxfordlearnersdictionaries.com/definition/english/ancestor,предок,antepasado,Vorfahr,předek
anger,https://www.oxfordlearnersdictionaries.com/definition/english/anger_1,злость,enfado,der Zorn,hněv
angle,https://www.oxfordlearnersdictionaries.com/definition/english/angle_1,угол,ángulo,Winkel,úhel
animation,https://www.oxfordlearnersdictionaries.com/definition/english/animation,анимация,animación,Animation,animace
anniversary,https://www.oxfordlearnersdictionaries.com/definition/english/anniversary,Годовщина,aniversario,Jubiläum,výročí
annual,https://www.oxfordlearnersdictionaries.com/definition/english/annual_1,ежегодный,anual,jährlich,roční
annually,https://www.oxfordlearnersdictionaries.com/definition/english/annually,ежегодно,anualmente,jährlich,každoročně
anticipate,https://www.oxfordlearnersdictionaries.com/definition/english/anticipate,предвидеть,prever,antizipieren,předvídat
anxiety,https://www.oxfordlearnersdictionaries.com/definition/english/anxiety,беспокойство,ansiedad,Angst,úzkost
anxious,https://www.oxfordlearnersdictionaries.com/definition/english/anxious,тревожный,ansioso,Ängstlich,úzkostný
apology,https://www.oxfordlearnersdictionaries.com/definition/english/apology,извинение,disculpa,Entschuldigung,omluva
apparent,https://www.oxfordlearnersdictionaries.com/definition/english/apparent,очевидный,aparente,ersichtlich,zdánlivý
apparently,https://www.oxfordlearnersdictionaries.com/definition/english/apparently,видимо,aparentemente,scheinbar,podle všeho
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_1,обращаться,apelación,appellieren,odvolání
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2,обращаться,apelación,appellieren,odvolání
applicant,https://www.oxfordlearnersdictionaries.com/definition/english/applicant,заявитель,solicitante,Antragsteller,žadatel
approach,https://www.oxfordlearnersdictionaries.com/definition/english/approach_1,подход,Acercarse,sich nähern,přístup
approach,https://www.oxfordlearnersdictionaries.com/definition/english/approach_2,подход,Acercarse,sich nähern,přístup
appropriate,https://www.oxfordlearnersdictionaries.com/definition/english/appropriate_1,подходящее,apropiado,angemessen,odpovídající
appropriately,https://www.oxfordlearnersdictionaries.com/definition/english/appropriately,соответствующим образом,adecuadamente,passend,vhodně
approval,https://www.oxfordlearnersdictionaries.com/definition/english/approval,одобрение,aprobación,die Genehmigung,schválení
approve,https://www.oxfordlearnersdictionaries.com/definition/english/approve,одобрить,aprobar,genehmigen,schvalovat
arise,https://www.oxfordlearnersdictionaries.com/definition/english/arise,возникать,aumentar,entstehen,vzniknout
armed,https://www.oxfordlearnersdictionaries.com/definition/english/armed,вооруженный,armado,bewaffnet,ozbrojený
arms,https://www.oxfordlearnersdictionaries.com/definition/english/arms,оружие,brazos,Waffen,zbraně
arrow,https://www.oxfordlearnersdictionaries.com/definition/english/arrow,стрелка,flecha,Pfeil,šipka
artificial,https://www.oxfordlearnersdictionaries.com/definition/english/artificial,искусственный,artificial,künstlich,umělý
artistic,https://www.oxfordlearnersdictionaries.com/definition/english/artistic,художественный,artístico,künstlerisch,umělecký
artwork,https://www.oxfordlearnersdictionaries.com/definition/english/artwork,произведение искусства,obra de arte,Kunstwerk,umělecké dílo
ashamed,https://www.oxfordlearnersdictionaries.com/definition/english/ashamed,стыдящийся,avergonzado,beschämt,zahanbený
aside,https://www.oxfordlearnersdictionaries.com/definition/english/aside_1,в стороне,aparte,beiseite,stranou
aspect,https://www.oxfordlearnersdictionaries.com/definition/english/aspect,аспект,aspecto,Aspekt,aspekt
assess,https://www.oxfordlearnersdictionaries.com/definition/english/assess,оценивать,evaluar,bewerten,posoudit
assessment,https://www.oxfordlearnersdictionaries.com/definition/english/assessment,оценка,evaluación,Bewertung,Posouzení
asset,https://www.oxfordlearnersdictionaries.com/definition/english/asset,актив,activo,Anlage,aktivum
assign,https://www.oxfordlearnersdictionaries.com/definition/english/assign,назначать,asignar,zuordnen,přiřadit
assistance,https://www.oxfordlearnersdictionaries.com/definition/english/assistance,помощь,asistencia,Hilfe,pomoc
associate,https://www.oxfordlearnersdictionaries.com/definition/english/associate_1,ассоциированный,asociar,assoziieren,spolupracovník
associated,https://www.oxfordlearnersdictionaries.com/definition/english/associated,связанный,asociado,damit verbundenen,spojené
association,https://www.oxfordlearnersdictionaries.com/definition/english/association,ассоциация,asociación,Verband,sdružení
assume,https://www.oxfordlearnersdictionaries.com/definition/english/assume,предполагать,asumir,davon ausgehen,převzít
assumption,https://www.oxfordlearnersdictionaries.com/definition/english/assumption,предположение,suposición,Annahme,předpoklad
assure,https://www.oxfordlearnersdictionaries.com/definition/english/assure,гарантировать,asegurar,versichern,ujistit
astonishing,https://www.oxfordlearnersdictionaries.com/definition/english/astonishing,удивительный,asombroso,erstaunlich,udivující
attachment,https://www.oxfordlearnersdictionaries.com/definition/english/attachment,вложение,adjunto archivo,Anhang,příloha
attempt,https://www.oxfordlearnersdictionaries.com/definition/english/attempt_1,пытаться,intento,Versuch,pokus
attempt,https://www.oxfordlearnersdictionaries.com/definition/english/attempt_2,пытаться,intento,Versuch,pokus
auction,https://www.oxfordlearnersdictionaries.com/definition/english/auction_1,аукцион,subasta,Versteigerung,aukce
audio,https://www.oxfordlearnersdictionaries.com/definition/english/audio_1,аудио,audio,Audio-,Zvuk
automatic,https://www.oxfordlearnersdictionaries.com/definition/english/automatic_1,автоматический,automático,automatisch,automatický
automatically,https://www.oxfordlearnersdictionaries.com/definition/english/automatically,автоматически,automáticamente,automatisch,automaticky
awareness,https://www.oxfordlearnersdictionaries.com/definition/english/awareness,осведомленность,conciencia,das Bewusstsein,povědomí
awkward,https://www.oxfordlearnersdictionaries.com/definition/english/awkward,неловко,incómodo,unangenehm,trapné
back,https://www.oxfordlearnersdictionaries.com/definition/english/back_4,назад,espalda,zurück,zadní
bacteria,https://www.oxfordlearnersdictionaries.com/definition/english/bacteria,бактерии,bacterias,Bakterien,bakterie
badge,https://www.oxfordlearnersdictionaries.com/definition/english/badge,значок,Insignia,Abzeichen,odznak
balanced,https://www.oxfordlearnersdictionaries.com/definition/english/balanced,сбалансированный,equilibrado,ausgewogen,vyrovnaný
ballet,https://www.oxfordlearnersdictionaries.com/definition/english/ballet,балет,ballet,Ballett,balet
balloon,https://www.oxfordlearnersdictionaries.com/definition/english/balloon_1,воздушный шар,globo,Ballon,balón
bar,https://www.oxfordlearnersdictionaries.com/definition/english/bar_2,бар,bar,Bar,bar
barely,https://www.oxfordlearnersdictionaries.com/definition/english/barely,едва,apenas,nur knapp,sotva
bargain,https://www.oxfordlearnersdictionaries.com/definition/english/bargain_1,торговаться,negociar,Schnäppchen,smlouvat
barrier,https://www.oxfordlearnersdictionaries.com/definition/english/barrier,барьер,barrera,Barriere,bariéra
basement,https://www.oxfordlearnersdictionaries.com/definition/english/basement,подвал,sótano,Untergeschoss,suterén
basically,https://www.oxfordlearnersdictionaries.com/definition/english/basically,в основном,básicamente,Grundsätzlich,v podstatě
basket,https://www.oxfordlearnersdictionaries.com/definition/english/basket,корзина,cesta,Korb,košík
bat,https://www.oxfordlearnersdictionaries.com/definition/english/bat_1,летучая мышь,murciélago,Schläger,netopýr
battle,https://www.oxfordlearnersdictionaries.com/definition/english/battle_2,боевой,batalla,Schlacht,bitva
bear,https://www.oxfordlearnersdictionaries.com/definition/english/bear_1,нести,soportar,Bär,medvěd
beat,https://www.oxfordlearnersdictionaries.com/definition/english/beat_2,бить,derrotar,schlagen,porazit
beg,https://www.oxfordlearnersdictionaries.com/definition/english/beg,очень прошу,mendigar,bitten,žebrat
being,https://www.oxfordlearnersdictionaries.com/definition/english/being,существование,ser,Sein,bytost
beneficial,https://www.oxfordlearnersdictionaries.com/definition/english/beneficial,выгодный,beneficioso,vorteilhaft,příznivý
bent,https://www.oxfordlearnersdictionaries.com/definition/english/bent_1,согнутый,doblado,gebogen,ohnutý
beside,https://www.oxfordlearnersdictionaries.com/definition/english/beside,рядом,junto a,neben,vedle
besides,https://www.oxfordlearnersdictionaries.com/definition/english/besides_2,Кроме,además,Außerdem,kromě
besides,https://www.oxfordlearnersdictionaries.com/definition/english/besides_1,Кроме,además,Außerdem,kromě
bet,https://www.oxfordlearnersdictionaries.com/definition/english/bet_2,держать пари,apuesta,Wette,sázka
bet,https://www.oxfordlearnersdictionaries.com/definition/english/bet_1,держать пари,apuesta,Wette,sázka
beyond,https://www.oxfordlearnersdictionaries.com/definition/english/beyond_2,вне,más allá de,darüber hinaus,mimo
beyond,https://www.oxfordlearnersdictionaries.com/definition/english/beyond_1,вне,más allá de,darüber hinaus,mimo
bias,https://www.oxfordlearnersdictionaries.com/definition/english/bias_1,предвзятость,parcialidad,Voreingenommenheit,zaujatost
bid,https://www.oxfordlearnersdictionaries.com/definition/english/bid1_1,делать ставку,licitación,Gebot,nabídka
bid,https://www.oxfordlearnersdictionaries.com/definition/english/bid1_2,делать ставку,licitación,Gebot,nabídka
bill,https://www.oxfordlearnersdictionaries.com/definition/english/bill_2,законопроект,factura,Rechnung,účtovat
biological,https://www.oxfordlearnersdictionaries.com/definition/english/biological,биологический,biológico,biologisch,biologický
bitter,https://www.oxfordlearnersdictionaries.com/definition/english/bitter_1,Горький,amargo,bitter,hořký
blame,https://www.oxfordlearnersdictionaries.com/definition/english/blame_2,обвинять,culpar,beschuldigen,obviňovat
blame,https://www.oxfordlearnersdictionaries.com/definition/english/blame_1,обвинять,culpar,beschuldigen,obviňovat
blanket,https://www.oxfordlearnersdictionaries.com/definition/english/blanket_1,одеяло,cobija,Decke,deka
blind,https://www.oxfordlearnersdictionaries.com/definition/english/blind_1,слепой,ciego,blind,slepý
blow,https://www.oxfordlearnersdictionaries.com/definition/english/blow_2,дуть,soplo,Schlag,foukat
bold,https://www.oxfordlearnersdictionaries.com/definition/english/bold_1,смелый,audaz,deutlich,tučně
bombing,https://www.oxfordlearnersdictionaries.com/definition/english/bombing,бомбардировка,bombardeo,Bombardierung,bombardování
bond,https://www.oxfordlearnersdictionaries.com/definition/english/bond_1,связь,vínculo,Bindung,pouto
booking,https://www.oxfordlearnersdictionaries.com/definition/english/booking,бронирование,reserva,Buchung,rezervace
boost,https://www.oxfordlearnersdictionaries.com/definition/english/boost_2,способствовать росту,aumentar,Schub,posílení
boost,https://www.oxfordlearnersdictionaries.com/definition/english/boost_1,способствовать росту,aumentar,Schub,posílení
border,https://www.oxfordlearnersdictionaries.com/definition/english/border_2,граница,frontera,Grenze,okraj
bound,https://www.oxfordlearnersdictionaries.com/definition/english/bound_1,граница,Unido,gebunden,vázaný
breast,https://www.oxfordlearnersdictionaries.com/definition/english/breast_1,грудь,pecho,Brust,prsa
brick,https://www.oxfordlearnersdictionaries.com/definition/english/brick_1,кирпич,ladrillo,Schrotten,cihlový
brief,https://www.oxfordlearnersdictionaries.com/definition/english/brief_1,краткий,breve,knapp,stručný
briefly,https://www.oxfordlearnersdictionaries.com/definition/english/briefly,кратко,brevemente,knapp,Krátce
broad,https://www.oxfordlearnersdictionaries.com/definition/english/broad_1,широкий,amplio,breit,široký
broadcast,https://www.oxfordlearnersdictionaries.com/definition/english/broadcast_2,транслировать,transmisión,Rundfunk,přenos
broadcast,https://www.oxfordlearnersdictionaries.com/definition/english/broadcast_1,транслировать,transmisión,Rundfunk,přenos
broadcaster,https://www.oxfordlearnersdictionaries.com/definition/english/broadcaster,телеведущий,locutor,Sender,vysílatel
broadly,https://www.oxfordlearnersdictionaries.com/definition/english/broadly,широко,en general,breit,široce
budget,https://www.oxfordlearnersdictionaries.com/definition/english/budget_1,бюджет,presupuesto,Budget,rozpočet
bug,https://www.oxfordlearnersdictionaries.com/definition/english/bug_1,ошибка,bicho,Insekt,Chyba
bullet,https://www.oxfordlearnersdictionaries.com/definition/english/bullet,пуля,bala,Patrone,kulka
bunch,https://www.oxfordlearnersdictionaries.com/definition/english/bunch_1,связка,racimo,Bündel,chomáč
burn,https://www.oxfordlearnersdictionaries.com/definition/english/burn_2,гореть,Quemadura,brennen,hořet
bush,https://www.oxfordlearnersdictionaries.com/definition/english/bush,куст,arbusto,Busch,keř
but,https://www.oxfordlearnersdictionaries.com/definition/english/but_2,но,pero,aber,ale
cabin,https://www.oxfordlearnersdictionaries.com/definition/english/cabin,салон самолета,cabina,Kabine,chata
cable,https://www.oxfordlearnersdictionaries.com/definition/english/cable_1,кабель,cable,Kabel,kabel
calculate,https://www.oxfordlearnersdictionaries.com/definition/english/calculate,рассчитать,calcular,Berechnung,vypočítat
canal,https://www.oxfordlearnersdictionaries.com/definition/english/canal,канал,canal,Kanal,kanál
cancel,https://www.oxfordlearnersdictionaries.com/definition/english/cancel,отменить,cancelar,Abbrechen,zrušení
cancer,https://www.oxfordlearnersdictionaries.com/definition/english/cancer_1,рак,cáncer,Krebs,rakovina
candle,https://www.oxfordlearnersdictionaries.com/definition/english/candle,свеча,vela,Kerze,svíčka
capable,https://www.oxfordlearnersdictionaries.com/definition/english/capable,способный,capaz,fähig,schopný
capacity,https://www.oxfordlearnersdictionaries.com/definition/english/capacity,емкость,capacidad,Kapazität,kapacita
capture,https://www.oxfordlearnersdictionaries.com/definition/english/capture_2,захватывать,capturar,zu erfassen,zachytit
capture,https://www.oxfordlearnersdictionaries.com/definition/english/capture_1,захватывать,capturar,zu erfassen,zachytit
carbon,https://www.oxfordlearnersdictionaries.com/definition/english/carbon,углерод,carbón,Kohlenstoff,uhlík
cast,https://www.oxfordlearnersdictionaries.com/definition/english/cast_2,В ролях,Elenco,Gießen,obsazení
cast,https://www.oxfordlearnersdictionaries.com/definition/english/cast_1,В ролях,Elenco,Gießen,obsazení
casual,https://www.oxfordlearnersdictionaries.com/definition/english/casual_1,повседневный,casual,lässig,neformální
catch,https://www.oxfordlearnersdictionaries.com/definition/english/catch_2,поймать,captura,Fang,chytit
cave,https://www.oxfordlearnersdictionaries.com/definition/english/cave_1,пещера,cueva,Höhle,jeskyně
cell,https://www.oxfordlearnersdictionaries.com/definition/english/cell,клетка,celda,Zelle,buňka
certainty,https://www.oxfordlearnersdictionaries.com/definition/english/certainty,уверенность,certeza,Sicherheit,jistota
certificate,https://www.oxfordlearnersdictionaries.com/definition/english/certificate_1,сертификат,certificado,Zertifikat,osvědčení
chain,https://www.oxfordlearnersdictionaries.com/definition/english/chain_2,цепь,cadena,Kette,řetěz
chair,https://www.oxfordlearnersdictionaries.com/definition/english/chair_2,стул,silla,Sessel,židle
chairman,https://www.oxfordlearnersdictionaries.com/definition/english/chairman,председатель,presidente,Vorsitzende,předseda
challenge,https://www.oxfordlearnersdictionaries.com/definition/english/challenge_2,вызов,desafío,Herausforderung,výzva
challenging,https://www.oxfordlearnersdictionaries.com/definition/english/challenging,испытывающий,desafiante,herausfordernd,náročný
championship,https://www.oxfordlearnersdictionaries.com/definition/english/championship,чемпионат,campeonato,Meisterschaft,mistrovství
characteristic,https://www.oxfordlearnersdictionaries.com/definition/english/characteristic_2,характеристика,característica,charakteristisch,charakteristický
characteristic,https://www.oxfordlearnersdictionaries.com/definition/english/characteristic_1,характеристика,característica,charakteristisch,charakteristický
charming,https://www.oxfordlearnersdictionaries.com/definition/english/charming,очаровательный,encantador,charmant,okouzlující
chart,https://www.oxfordlearnersdictionaries.com/definition/english/chart_2,Диаграмма,gráfico,Diagramm,schéma
chase,https://www.oxfordlearnersdictionaries.com/definition/english/chase_2,гнаться,perseguir,Verfolgungsjagd,honit
chase,https://www.oxfordlearnersdictionaries.com/definition/english/chase_1,гнаться,perseguir,Verfolgungsjagd,honit
cheek,https://www.oxfordlearnersdictionaries.com/definition/english/cheek_1,щека,mejilla,Wange,tvář
cheer,https://www.oxfordlearnersdictionaries.com/definition/english/cheer_2,радость,alegría,jubeln,jásot
cheer,https://www.oxfordlearnersdictionaries.com/definition/english/cheer_1,радость,alegría,jubeln,jásot
chief,https://www.oxfordlearnersdictionaries.com/definition/english/chief_1,главный,jefe,Chef,hlavní
chief,https://www.oxfordlearnersdictionaries.com/definition/english/chief_2,главный,jefe,Chef,hlavní
choir,https://www.oxfordlearnersdictionaries.com/definition/english/choir,хор,coro,Chor,pěvecký sbor
chop,https://www.oxfordlearnersdictionaries.com/definition/english/chop_1,нарезать,cortar,hacken,kotleta
circuit,https://www.oxfordlearnersdictionaries.com/definition/english/circuit,схема,circuito,Schaltkreis,obvod
circumstance,https://www.oxfordlearnersdictionaries.com/definition/english/circumstance,обстоятельство,circunstancia,Umstand,okolnost
cite,https://www.oxfordlearnersdictionaries.com/definition/english/cite,cite,citar,zitieren,uvést
citizen,https://www.oxfordlearnersdictionaries.com/definition/english/citizen,гражданин,ciudadano,Bürger,občan
civil,https://www.oxfordlearnersdictionaries.com/definition/english/civil,гражданский,civil,bürgerlich,civilní
civilization,https://www.oxfordlearnersdictionaries.com/definition/english/civilization,цивилизация,civilización,Zivilisation,civilizace
clarify,https://www.oxfordlearnersdictionaries.com/definition/english/clarify,прояснить,aclarar,klären,vyjasnit
classic,https://www.oxfordlearnersdictionaries.com/definition/english/classic_1,классический,clásico,klassisch,klasický
classic,https://www.oxfordlearnersdictionaries.com/definition/english/classic_2,классический,clásico,klassisch,klasický
classify,https://www.oxfordlearnersdictionaries.com/definition/english/classify,классифицировать,clasificar,klassifizieren,klasifikovat
clerk,https://www.oxfordlearnersdictionaries.com/definition/english/clerk_1,клерк,empleado,Verkäufer,úředník
cliff,https://www.oxfordlearnersdictionaries.com/definition/english/cliff_1,Утес,acantilado,Cliff,útes
clinic,https://www.oxfordlearnersdictionaries.com/definition/english/clinic,клиника,clínica,Klinik,klinika
clip,https://www.oxfordlearnersdictionaries.com/definition/english/clip_1,клип,acortar,Clip,klip
close,https://www.oxfordlearnersdictionaries.com/definition/english/close1_2,Закрыть,cerca,nah dran,zavřít
closely,https://www.oxfordlearnersdictionaries.com/definition/english/closely,близко,cercanamente,eng,úzce
coincidence,https://www.oxfordlearnersdictionaries.com/definition/english/coincidence,стечение обстоятельств,coincidencia,Zufall,náhoda
collapse,https://www.oxfordlearnersdictionaries.com/definition/english/collapse_2,крах,colapso,Zusammenbruch,kolaps
collapse,https://www.oxfordlearnersdictionaries.com/definition/english/collapse_1,крах,colapso,Zusammenbruch,kolaps
collector,https://www.oxfordlearnersdictionaries.com/definition/english/collector,коллекционер,coleccionista,Kollektor,kolektor
colony,https://www.oxfordlearnersdictionaries.com/definition/english/colony,колония,colonia,Kolonie,kolonie
colourful,https://www.oxfordlearnersdictionaries.com/definition/english/colourful,красочный,vistoso,bunt,barvitý
combination,https://www.oxfordlearnersdictionaries.com/definition/english/combination,комбинация,combinación,Kombination,kombinace
comfort,https://www.oxfordlearnersdictionaries.com/definition/english/comfort_1,комфорт,comodidad,Komfort,pohodlí
comfort,https://www.oxfordlearnersdictionaries.com/definition/english/comfort_2,комфорт,comodidad,Komfort,pohodlí
comic,https://www.oxfordlearnersdictionaries.com/definition/english/comic_1,комикс,cómic,Comic,komik
comic,https://www.oxfordlearnersdictionaries.com/definition/english/comic_2,комикс,cómic,Comic,komik
command,https://www.oxfordlearnersdictionaries.com/definition/english/command_1,команда,mando,Befehl,příkaz
command,https://www.oxfordlearnersdictionaries.com/definition/english/command_2,команда,mando,Befehl,příkaz
commander,https://www.oxfordlearnersdictionaries.com/definition/english/commander,командир,comandante,Kommandant,velitel
commission,https://www.oxfordlearnersdictionaries.com/definition/english/commission_1,комиссия,comisión,Kommission,komise
commission,https://www.oxfordlearnersdictionaries.com/definition/english/commission_2,комиссия,comisión,Kommission,komise
commitment,https://www.oxfordlearnersdictionaries.com/definition/english/commitment,обязательство,compromiso,Engagement,závazek
committee,https://www.oxfordlearnersdictionaries.com/definition/english/committee,комитет,comité,Komitee,výbor
commonly,https://www.oxfordlearnersdictionaries.com/definition/english/commonly,обычно,comúnmente,häufig,běžně
comparative,https://www.oxfordlearnersdictionaries.com/definition/english/comparative_1,Сравнительная степень,comparativo,vergleichend,srovnávací
completion,https://www.oxfordlearnersdictionaries.com/definition/english/completion,завершение,terminación,Fertigstellung,dokončení
complex,https://www.oxfordlearnersdictionaries.com/definition/english/complex_2,сложный,complejo,Komplex,komplex
complicated,https://www.oxfordlearnersdictionaries.com/definition/english/complicated,сложный,Complicado,kompliziert,složitý
component,https://www.oxfordlearnersdictionaries.com/definition/english/component_1,компонент,componente,Komponente,komponent
compose,https://www.oxfordlearnersdictionaries.com/definition/english/compose,сочинять,componer,komponieren,komponovat
composer,https://www.oxfordlearnersdictionaries.com/definition/english/composer,композитор,compositor,Komponist,skladatel
compound,https://www.oxfordlearnersdictionaries.com/definition/english/compound_1,сложный,compuesto,Verbindung,sloučenina
comprehensive,https://www.oxfordlearnersdictionaries.com/definition/english/comprehensive_1,всесторонний,exhaustivo,umfassend,obsáhlý
comprise,https://www.oxfordlearnersdictionaries.com/definition/english/comprise,включать,comprender,umfassen,obsahovat
compulsory,https://www.oxfordlearnersdictionaries.com/definition/english/compulsory,принудительный,obligatorio,verpflichtend,povinný
concentration,https://www.oxfordlearnersdictionaries.com/definition/english/concentration,концентрация,concentración,Konzentration,koncentrace
concept,https://www.oxfordlearnersdictionaries.com/definition/english/concept,концепция,concepto,Konzept,pojem
concern,https://www.oxfordlearnersdictionaries.com/definition/english/concern_2,беспокойство,preocupación,Anliegen,znepokojení
concern,https://www.oxfordlearnersdictionaries.com/definition/english/concern_1,беспокойство,preocupación,Anliegen,znepokojení
concerned,https://www.oxfordlearnersdictionaries.com/definition/english/concerned,обеспокоенный,preocupado,betroffen,znepokojený
concrete,https://www.oxfordlearnersdictionaries.com/definition/english/concrete_1,конкретный,hormigón,Beton,beton
concrete,https://www.oxfordlearnersdictionaries.com/definition/english/concrete_2,конкретный,hormigón,Beton,beton
conduct,https://www.oxfordlearnersdictionaries.com/definition/english/conduct_2,провести,conducta,Benehmen,chování
conduct,https://www.oxfordlearnersdictionaries.com/definition/english/conduct_1,провести,conducta,Benehmen,chování
confess,https://www.oxfordlearnersdictionaries.com/definition/english/confess,признаваться,confesar,bekennen,Přiznej se
